Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
relax,0.132,0.557,5.928,103.599,4.165,-0.32,0.521,0.012,0.202,0.015,-0.321,0.089,-0.05,0.205,-0.033,0.211,0.015,388.437,0.236,551.174,0.033,-0.215,2591.849,1.456,0.175,0.235,1567.126,2427.151,2.556,8.902,0.022,0.832,0.0,0.584,0.282,0.0,0.196,0.088,1.0,0.45,0.01,0.028,0.074,0.4,0.375,0.238,-0.068,0.561,0.765,0.969
relax,0.068,0.659,8.58,182.302,2.847,0.211,0.781,0.657,0.008,0.246,-0.297,0.107,0.036,0.267,-0.091,0.187,0.119,61.486,0.169,657.362,0.064,-0.176,8032.263,0.832,0.096,0.454,3089.266,3717.737,1.2,3.208,0.059,0.886,0.002,0.716,0.17,0.031,0.645,0.777,0.941,0.653,0.418,1.0,0.006,0.266,0.326,0.34,0.133,0.396,0.667,0.953
relax,0.042,0.555,6.203,110.361,2.67,0.024,0.207,0.248,-0.054,0.129,0.105,0.268,-0.204,0.252,0.192,0.259,0.324,39.363,0.005,1022.417,0.043,0.09,7428.135,1.704,0.18,0.485,3095.189,3574.856,1.388,4.063,0.078,0.891,0.37,0.006,0.638,0.124,0.429,0.449,0.035,1.0,0.06,0.102,0.0,0.21,0.355,0.256,0.01,0.841,0.643,0.977
relax,0.177,0.583,8.026,64.156,2.205,0.484,0.922,0.269,0.541,0.079,-0.153,-0.008,-0.084,0.191,-0.021,-0.171,-0.011,651.88,-0.074,560.395,0.031,0.018,7897.87,1.671,0.182,0.447,3113.035,4013.457,1.432,3.993,0.067,0.886,0.058,0.001,0.291,0.003,0.245,0.117,0.0,0.0,0.108,1.0,0.002,0.043,0.297,0.192,0.196,0.561,0.741,0.966
relax,0.14,0.522,7.122,157.623,1.902,0.682,0.818,0.314,0.42,0.27,0.298,0.158,0.103,0.028,0.012,0.012,0.053,582.645,-0.013,520.1,0.031,0.171,4284.456,1.504,0.169,0.366,1714.794,2102.109,1.331,3.961,0.008,0.844,0.437,0.013,0.259,0.031,1.0,0.094,0.009,0.475,0.105,0.742,0.01,0.631,0.364,0.229,-0.162,2.691,0.758,0.967
relax,0.127,0.567,7.115,77.25,2.58,0.397,0.573,0.351,0.22,0.33,0.021,-0.15,-0.187,-0.185,-0.116,-0.07,-0.063,219.118,0.158,1302.348,0.031,0.117,8825.354,1.737,0.139,0.421,3156.306,4117.719,1.299,3.364,0.073,0.886,0.399,0.092,0.528,0.154,0.226,0.235,0.605,0.673,0.312,0.556,0.253,1.0,0.4,0.222,-0.134,1.922,0.78,0.967
relax,0.074,0.556,6.449,121.659,2.829,0.324,0.498,0.071,0.025,-0.033,-0.083,-0.151,-0.156,0.069,0.167,0.134,0.095,110.173,0.263,611.246,0.055,-0.038,5102.402,1.236,0.089,0.346,2204.432,3218.112,2.053,6.701,0.058,0.853,0.718,0.0,0.95,0.557,0.003,1.0,0.002,0.726,0.131,0.537,0.515,0.007,0.344,0.24,-0.072,0.961,0.689,0.966
relax,0.246,0.513,7.155,144.558,2.431,0.366,0.611,0.066,0.166,0.167,0.136,0.079,0.028,-0.058,0.033,0.063,-0.296,1545.974,0.093,1030.661,0.024,-0.175,8378.687,2.937,0.165,0.477,3313.935,4022.794,1.336,3.682,0.063,0.897,0.452,0.117,1.0,0.877,0.156,0.831,0.33,0.448,0.0,0.102,0.447,0.0,0.368,0.201,0.016,0.299,0.747,0.967
relax,0.222,0.556,7.344,68.658,3.213,0.805,0.612,0.598,0.065,0.325,-0.09,0.026,-0.289,-0.13,-0.158,0.054,-0.117,752.047,0.005,472.729,0.021,0.086,7152.535,2.606,0.08,0.321,2486.791,3699.171,1.63,4.445,0.048,0.854,0.544,0.049,0.268,0.193,0.708,0.094,0.818,1.0,0.206,0.482,0.037,0.809,0.406,0.21,0.064,2.243,0.771,0.969
relax,0.071,0.529,5.49,116.302,1.602,-0.129,0.238,-0.289,-0.027,-0.065,-0.012,-0.042,-0.108,0.084,-0.034,0.004,0.051,180.166,0.09,1829.275,0.028,-0.098,7192.973,3.308,0.265,0.611,3451.465,3309.499,1.219,3.744,0.059,0.915,0.045,0.862,0.079,1.0,0.466,0.019,0.247,0.069,0.905,0.101,0.503,0.371,0.387,0.201,0.009,1.922,0.807,0.967
relax,0.063,0.652,6.282,72.059,4.829,-0.323,0.844,-0.124,0.549,-0.142,0.238,-0.185,-0.033,-0.153,-0.122,-0.095,0.014,71.955,0.244,432.268,0.028,0.167,1402.581,0.535,0.115,0.137,876.114,1227.796,5.185,44.861,0.015,0.777,0.502,0.015,1.0,0.004,0.919,0.689,0.033,0.269,0.082,0.47,0.0,0.745,0.292,0.3,0.015,3.364,0.544,0.968
relax,0.125,0.546,5.938,70.815,1.699,0.753,1.068,-0.09,0.157,-0.092,-0.205,-0.186,-0.114,-0.146,0.149,0.189,0.149,544.329,0.092,1055.419,0.035,0.251,6613.995,1.203,0.227,0.522,3098.839,3578.549,1.506,4.665,0.062,0.893,0.101,0.511,0.393,0.129,0.554,0.177,0.338,0.087,0.262,1.0,0.1,0.787,0.343,0.229,0.129,0.897,0.754,0.966
relax,0.06,0.542,7.76,130.518,1.973,0.801,0.712,0.453,0.415,0.689,-0.056,-0.012,0.074,0.006,0.212,-0.216,-0.146,116.828,0.151,606.234,0.032,0.014,7472.715,2.305,0.222,0.45,2972.949,3663.418,1.344,3.953,0.078,0.876,0.22,0.083,1.0,0.165,0.004,0.32,0.075,0.963,0.251,0.327,0.239,0.067,0.365,0.211,-0.12,1.121,0.801,0.969
relax,0.102,0.532,5.944,98.804,4.464,0.357,0.068,-0.674,-0.3,-0.094,0.32,0.532,0.365,-0.022,-0.011,0.145,0.269,233.113,-0.133,453.897,0.031,0.062,1488.188,1.303,0.198,0.148,1272.031,2411.94,3.677,16.912,0.034,0.803,0.798,0.009,0.006,0.0,0.57,0.0,0.266,0.446,0.064,1.0,0.003,0.801,0.289,0.218,-0.054,0.408,0.667,0.966
relax,0.198,0.593,6.184,146.344,4.103,0.347,0.59,0.205,0.162,0.654,-0.187,0.636,-0.074,-0.045,-0.315,0.178,-0.075,654.388,0.363,420.379,0.036,-0.149,3888.909,1.537,0.057,0.234,1801.744,3065.323,2.176,6.751,0.04,0.809,0.0,0.0,0.222,0.0,0.047,0.091,0.0,0.0,1.0,0.777,0.043,0.0,0.255,0.171,-0.115,2.691,0.736,0.962
relax,0.075,0.487,7.976,101.482,3.494,-0.271,1.39,0.329,0.23,-0.133,-0.14,0.08,0.077,0.078,-0.288,-0.334,-0.145,59.36,0.26,502.683,0.042,0.599,2653.336,0.301,0.242,0.29,1517.817,2344.743,3.126,14.081,0.04,0.815,0.0,0.961,0.0,0.84,0.619,0.003,1.0,0.007,0.569,0.0,0.004,0.95,0.328,0.271,0.073,0.538,0.622,0.961
relax,0.184,0.589,8.807,103.952,2.284,0.644,0.599,0.007,0.344,0.093,0.325,0.105,0.069,0.036,-0.028,0.256,0.077,800.582,-0.014,585.915,0.019,0.007,7330.731,2.975,0.284,0.379,2630.453,3721.695,1.517,4.188,0.053,0.865,0.792,0.548,0.379,0.353,0.059,0.309,0.271,0.398,1.0,0.511,0.594,0.337,0.393,0.199,0.084,2.243,0.789,0.968
relax,0.097,0.542,10.02,134.029,3.361,1.153,0.726,-0.087,0.448,0.179,0.183,0.299,-0.07,0.137,0.051,0.228,0.201,138.715,-0.023,503.682,0.03,0.021,3813.08,1.737,0.103,0.231,1710.727,2998.774,2.419,8.345,0.047,0.823,0.915,0.312,0.077,0.075,0.01,0.267,0.151,0.715,1.0,0.081,0.115,0.545,0.395,0.295,-0.052,1.495,0.689,0.968
relax,0.068,0.613,6.287,176.032,2.718,1.937,0.77,0.323,0.658,-0.128,0.344,-0.001,-0.063,-0.006,-0.177,0.043,0.122,51.382,0.3,379.685,0.046,-0.465,7541.079,0.668,0.118,0.335,2619.739,3795.901,1.537,4.234,0.078,0.83,0.224,0.0,0.0,0.0,0.009,0.009,0.0,0.112,0.098,1.0,0.007,0.045,0.221,0.193,0.229,1.682,0.649,0.971
relax,0.127,0.508,9.588,179.476,3.067,0.174,0.157,0.522,0.508,-0.091,0.078,-0.177,-0.112,0.142,0.284,0.24,0.132,373.142,0.387,468.466,0.027,-0.059,4178.787,1.604,0.164,0.283,1847.346,2974.745,2.287,7.699,0.036,0.843,0.542,0.062,0.365,0.025,0.743,0.144,0.243,0.249,0.2,1.0,0.106,0.403,0.369,0.189,0.061,1.495,0.787,0.966
relax,0.135,0.552,8.34,93.954,3.861,0.538,0.627,0.259,0.033,0.181,0.08,-0.273,-0.302,-0.029,-0.014,-0.081,0.068,186.8,-0.006,338.624,0.042,-0.042,2067.209,2.138,0.252,0.179,1299.51,2582.063,3.215,13.491,0.036,0.797,0.48,0.0,0.216,0.215,0.4,0.0,0.393,0.361,0.035,1.0,0.019,0.631,0.392,0.284,-0.03,2.243,0.689,0.964
relax,0.1,0.548,5.388,164.528,3.062,0.901,0.978,0.469,0.247,0.144,0.19,0.2,0.152,0.09,-0.002,0.045,0.123,233.732,-0.03,252.757,0.025,0.175,2430.771,1.169,0.091,0.185,1378.592,2935.72,2.811,10.324,0.045,0.781,0.0,1.0,0.004,0.573,0.222,0.0,0.138,0.164,0.741,0.001,0.473,0.87,0.285,0.245,0.041,0.673,0.598,0.973
relax,0.12,0.527,7.724,130.318,4.844,0.203,0.907,0.064,0.107,-0.192,0.049,0.077,0.286,0.086,-0.045,0.207,0.072,363.099,0.39,328.334,0.024,0.01,912.764,1.604,0.146,0.103,834.604,2004.344,4.671,26.13,0.021,0.773,0.724,0.087,0.576,0.137,0.387,0.504,0.072,0.481,0.308,0.604,1.0,0.006,0.342,0.278,0.044,0.641,0.618,0.973
relax,0.155,0.66,6.354,77.051,2.537,-0.063,0.604,0.24,0.367,0.034,0.061,-0.043,-0.004,0.139,0.121,0.067,-0.017,335.184,0.033,413.502,0.056,-0.187,4284.54,1.27,0.084,0.341,2159.237,3528.629,2.465,8.737,0.075,0.849,0.6,0.292,0.042,0.012,0.042,0.046,0.044,1.0,0.668,0.305,0.109,0.014,0.389,0.243,0.063,2.243,0.754,0.965
relax,0.123,0.515,6.565,168.286,1.946,1.365,0.614,0.438,0.066,0.132,0.079,0.236,0.019,0.166,0.103,0.019,-0.131,430.145,0.358,570.578,0.021,-0.228,7986.232,1.64,0.057,0.48,3260.409,3582.454,0.773,2.172,0.031,0.88,0.038,1.0,0.517,0.0,0.007,0.015,0.41,0.419,0.017,0.001,0.041,0.33,0.333,0.232,0.02,0.561,0.711,0.964
relax,0.139,0.532,9.537,80.208,2.548,0.787,0.287,-0.239,-0.142,-0.18,0.068,0.299,0.218,0.246,-0.076,-0.148,-0.024,327.001,0.123,856.26,0.046,-0.309,8316.716,1.203,0.244,0.423,3221.887,4119.758,1.332,3.608,0.072,0.877,0.0,0.133,0.895,0.055,0.196,0.004,0.158,0.681,0.341,1.0,0.016,0.315,0.321,0.236,-0.015,0.498,0.632,0.973
relax,0.098,0.529,9.942,96.391,2.626,0.425,-0.029,0.26,0.451,0.232,-0.287,-0.022,-0.213,0.311,0.123,-0.204,0.209,166.456,0.194,551.969,0.027,-0.162,6953.732,2.305,0.091,0.395,2680.456,3399.532,1.473,4.306,0.055,0.881,0.13,0.06,0.785,0.447,0.002,0.144,1.0,0.41,0.101,0.297,0.125,0.137,0.37,0.206,0.055,1.495,0.757,0.966
relax,0.055,0.662,10.837,69.775,1.97,0.26,0.053,0.537,0.591,0.467,-0.017,-0.054,0.272,-0.007,0.012,-0.176,-0.21,20.982,0.089,937.216,0.027,0.463,7481.127,0.902,0.11,0.541,3479.684,3506.607,1.046,3.185,0.068,0.883,1.0,0.0,0.449,0.0,0.138,0.0,0.0,0.0,0.0,0.001,0.0,0.16,0.244,0.269,-0.014,0.408,0.53,0.97
relax,0.06,0.537,6.921,116.1,4.641,0.319,0.702,0.248,0.406,0.052,0.256,0.113,-0.084,-0.013,-0.196,-0.035,0.214,91.262,-0.141,357.44,0.018,-0.006,1100.759,2.639,0.349,0.104,740.637,1235.189,4.884,37.402,0.012,0.758,0.0,0.0,0.128,0.0,0.593,0.17,0.0,0.0,0.051,1.0,0.0,0.379,0.306,0.243,0.055,2.243,0.703,0.967
relax,0.186,0.564,5.879,101.341,2.16,0.656,0.76,0.27,0.3,-0.113,0.023,0.124,0.097,0.027,0.083,0.089,-0.03,918.3,0.16,750.445,0.023,-0.124,7081.459,3.007,0.191,0.447,2875.718,3643.716,1.474,4.302,0.058,0.885,1.0,0.048,0.964,0.013,0.634,0.508,0.015,0.54,0.069,0.937,0.429,0.182,0.375,0.206,-0.033,0.841,0.773,0.962
relax,0.129,0.593,6.686,55.319,2.524,0.04,0.119,0.277,0.135,0.219,-0.034,0.213,0.227,-0.123,0.037,0.044,0.129,466.864,0.264,905.879,0.024,0.163,6941.787,1.804,0.096,0.467,2937.66,3468.354,1.516,4.492,0.062,0.889,0.0,0.457,0.002,0.07,0.617,0.0,0.178,0.0,0.029,1.0,0.024,0.673,0.28,0.229,0.225,3.364,0.652,0.958
relax,0.102,0.534,8.958,93.376,1.893,0.726,0.988,0.238,0.186,-0.093,0.277,-0.114,-0.07,-0.09,0.043,0.038,-0.014,244.724,0.34,853.779,0.051,-0.417,7710.527,1.437,0.225,0.509,3094.661,3417.415,1.039,2.835,0.026,0.893,0.866,0.638,0.086,0.551,0.143,0.28,0.102,0.928,1.0,0.244,0.577,0.228,0.366,0.235,0.146,0.561,0.737,0.965
relax,0.134,0.553,9.297,76.74,2.344,-0.081,0.322,-0.003,-0.143,-0.234,0.245,-0.05,-0.133,-0.221,-0.238,-0.218,-0.128,336.35,0.015,974.613,0.034,0.075,8084.078,2.339,0.07,0.504,3138.629,3534.981,1.206,3.159,0.025,0.9,0.108,0.751,0.221,0.212,0.141,0.289,0.636,0.116,0.836,1.0,0.16,0.84,0.388,0.23,0.057,1.682,0.758,0.962
relax,0.083,0.543,6.055,179.056,3.316,-0.212,0.312,-0.401,0.175,0.165,-0.042,-0.194,-0.306,-0.107,0.343,0.163,0.039,154.327,0.426,729.132,0.052,-0.257,3120.506,1.69,0.256,0.297,1716.043,2398.686,2.831,11.927,0.035,0.854,1.0,0.188,0.423,0.154,0.601,0.091,0.159,0.389,0.253,0.803,0.099,0.735,0.347,0.228,0.173,2.691,0.782,0.957
relax,0.177,0.549,7.448,120.741,3.501,0.07,0.271,-0.038,0.212,-0.041,-0.05,0.221,-0.008,0.244,0.113,0.136,0.119,481.229,0.292,585.154,0.027,0.21,4273.268,1.838,0.074,0.301,1971.488,2890.533,2.073,6.482,0.027,0.86,0.213,0.367,0.661,0.263,0.889,0.114,0.218,0.089,0.427,0.611,0.424,1.0,0.405,0.267,-0.107,1.922,0.735,0.966
relax,0.085,0.607,8.487,144.257,2.057,0.599,-0.218,-0.526,0.472,0.469,-0.092,0.254,0.038,0.165,-0.132,-0.347,-0.157,186.367,0.15,1021.485,0.122,-0.3,10024.947,1.002,0.075,0.583,4489.63,4246.051,0.735,2.224,0.069,0.921,0.012,0.302,1.0,0.129,0.202,0.12,0.245,0.286,0.059,0.4,0.265,0.065,0.372,0.293,-0.095,1.922,0.652,0.971
relax,0.124,0.463,6.072,67.702,3.43,-0.659,-0.067,0.122,0.388,0.31,0.362,0.476,0.228,0.019,-0.02,-0.058,-0.131,267.331,-0.096,769.061,0.023,0.305,3118.529,1.37,0.117,0.314,1855.478,2560.883,2.745,10.831,0.038,0.843,1.0,0.001,0.806,0.915,0.066,0.847,0.003,0.952,0.0,0.666,0.71,0.058,0.325,0.255,-0.239,0.449,0.698,0.953
relax,0.109,0.575,6.613,188.335,3.106,1.411,0.285,0.308,0.102,-0.322,-0.196,-0.375,-0.286,-0.393,0.046,0.131,0.176,101.672,0.105,678.997,0.063,-0.204,5949.641,1.169,0.119,0.306,2364.284,3499.453,1.878,5.636,0.059,0.853,0.088,0.032,0.591,0.045,1.0,0.327,0.216,0.084,0.023,0.968,0.0,0.942,0.31,0.24,0.077,1.922,0.666,0.964
